District,Constituency,Expected Winning Party (By PPA on 11-11-25),Actual Winner (after results on 14-11-25),Expected Votes (By PPA on 11-11-25),Actual Votes (after results on 14-11-25),Vote Diff,Runner-Up (By PPA on 11-11-25),Actual Runner-Up (after results on 14-11-25),Runner-Up Votes (By PPA on 11-11-25),Actual Runner-Up Votes (after results on 14-11-25),Winning Margin (By PPA on 11-11-25),Actual Margin (after results on 14-11-25),Error Margin ±5000 proposed (By PPA on 11-11-25),After Adjustment actual diffence
PASCHIM CHAMPARANपश्चिम चंपारण,1 - VALMIKI NAGARवाल्मीकि नगर,INC (MGB),INC (MGB),-,-,-,-,-,-,-,-,-,±5000,-
,2 - RAMNAGAR (SC)रामनगर (अ.जा.),BJP (NDA),BJP (NDA),87430,115214,27784,RJD (MGB),RJD (MGB),49086,79534,38344,35680,35680,0
,3 - NARKATIAGANJनरकटियागंज,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,4 - BAGAHAबगहा,BJP (NDA),BJP (NDA),101267,106875,5608,INC (MGB),INC (MGB),70889,100562,30378,6313,23378,-17065
,5 - LAURIYAलौरिया,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,6 - NAUTANनौतन,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,7 - CHANPATIAचनपटिया,BJP (NDA),INC (MGB),-,-,-,-,-,-,-,-,-,±5000,-
,8 - BETTIAHबेतिया,BJP (NDA),BJP (NDA),98012,91907,-6105,INC (MGB),INC (MGB),44026,69534,53986,22373,46986,-24613
,9 - SIKTAसिकटा,JDU (NDA),JDU (NDA),78131,97173,19042,CPIML (MGB),INDEPENDENT,39065,50029,39066,47144,46066,1078
PURVI CHAMPARANपूर्वी चम्पारण,10 - RAXAULरक्सौल,BJP (NDA),BJP (NDA),97971,106765,8794,INC (MGB),INC (MGB),57659,88887,40312,17878,33312,-15434
,11 - SUGAULIसुगौली,LJP (NDA),LJP (NDA),84281,98875,14594,VIP,JJD,48594,40684,35687,58191,42687,15504
,12 - NARKATIAनरकटिया,JDU (NDA),JDU (NDA),115204,104450,-10754,RJD (MGB),RJD (MGB),105310,103007,9894,1443,2894,-1451
,13 - HARSIDHI (SC)हरसिद्धि (अ.जा.),BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,14 - GOVINDGANJगोविंदगंज,BJP (NDA),LJP/NDA (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,15 - KESARIAकेसरिया,JDU (NDA),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,16 - KALYANPURकल्याणपुर,RJD (MGB),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,17 - PIPRAपिपरा,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,18 - MADHUBANमधुबन,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,19 - MOTIHARIमोतिहारी,BJP (NDA),BJP (NDA),99672,106080,6408,RJD (MGB),RJD (MGB),91560,92517,8112,13563,13563,0
,20 - CHIRAIAचिरैया,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,21 - DHAKAढाका,BJP (NDA),RJD (MGB),-,-,-,-,-,-,-,-,-,±5000,-
SHEOHARशिवहर,22 - SHEOHARशिवहर,JDU (NDA),JDU (NDA),89916,97269,7353,RJD (MGB),RJD (MGB),55834,65871,34082,31398,31398,0
SITAMARHIसीतामढ़ी,23 - RIGAरीगा,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,24 - BATHNAHA (SC)बथनाहा (अ.जा.),BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,25 - PARIHARपरीहार,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,26 - SURSANDसुरसंड,JDU (NDA),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,27 - BAJPATTIबाजपट्टी,RLM,RLM,97650,99144,1494,RJD (MGB),RJD (MGB),72059,99749,25591,3395,18591,-15196
,28 - SITAMARHIसीतामढ़ी,BJP (NDA),BJP (NDA),118418,104226,-14192,RJD (MGB),RJD (MGB),78945,98664,39473,5562,32473,-26911
,29 - RUNNISAIDPURरुन्नीसैदपुर,JDU (NDA),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,30 - BELSANDबेलसंड,LJP (NDA),LJP (NDA),86109,82076,-4033,RJD (MGB),RJD (MGB),52441,59391,33668,22685,26668,-3983
MADHUBANIमधुबनी,31 - HARLAKHIहरलाखी,JDU (NDA),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
