District,Constituency Number,Constituency,Expected Winning Party (By PPA on 29-04-26),Expected Votes (By PPA on 29-04-26),Runner-Up (By PPA on 29-04-26),Expected Runner-Up Votes (By PPA on 29-04-26),Winning Margin (By PPA on 29-04-26)
Puducherry,1,Mannadipet,BJP,16073,INC,6420,9653
Puducherry,2,Thirubhuvanai,AINRC,10573,DMK,10348,225
Puducherry,3,Oussudu,BJP,12655,INC,9407,3247
Puducherry,4,Mangalam,AINRC,14591,DMK,11875,2716
Puducherry,5,Villianur,DMK,14805,AINRC,13511,1294
Puducherry,6,Ozhukarai,AINRC,13003,VCK,12628,375
Puducherry,7,Kadirgamam,AINRC,14193,DMK,7034,7159
Puducherry,8,Indira Nagar,AINRC,16413,INC,7965,8448
Puducherry,9,Thattanchavady,AINRC,11069,INC,7231,3838
Puducherry,10,Kamaraj Nagar,LJK,14654,INC,7701,6953
Puducherry,11,Lawspet,INC,10917,AINRC,9937,981
Puducherry,12,Kalapet,BJP,0,DMK,0,0
Puducherry,13,Muthialpet,AINRC,9152,INC,6985,2166
Puducherry,14,Raj Bhavan,BJP,7038,DMK,6916,122
Puducherry,15,Oupalam,AIADMK,8873,DMK,8647,226
Puducherry,16,Orleampeth,DMK,6335,AIADMK,5578,756
Puducherry,17,Nellithope,LJK,11121,DMK,8312,2809
Puducherry,18,Mudaliarpet,BJP,17401,DMK,8528,8873
Puducherry,19,Ariankuppam,INC,11391,AINRC,9763,1627
Puducherry,20,Manavely,BJP,14766,INC,8365,6400
Puducherry,21,Embalam,INC,12899,AINRC,11678,1221
Puducherry,22,Nettapakkam,AINRC,11558,INC,10411,1147
Puducherry,23,Bahour,AINRC,10388,DMK,10089,299
Karaikal,24,Nedungadu,AINRC,11653,INC,9358,2295
Karaikal,25,Thirunallar,BJP,10338,INC,10084,254
Karaikal,26,Karaikal North,AINRC,12764,INC,10251,2513
Karaikal,27,Karaikal South,DMK,10835,BJP,8763,2072
Karaikal,28,Neravy - T. R. Pattinam,DMK,9416,BJP,8828,589
Mahe,29,Mahe,INC,,BJP,,0
Yanam,30,Yanam,AINRC,,INC,,0
