District,Constituency Number,Constituency,Expected Winning Party (By PPA on 19-04-26),Expected Votes (By PPA on 19-04-26),Runner-Up (By PPA on 19-04-26),Expected Runner-Up Votes (By PPA on 19-04-26),Winning Margin (By PPA on 19-04-26)
Thiruvallur,1,Gummidipoondi,DMK,68032,AIDMK,59415,8617
Thiruvallur,2,Ponneri,INC,87291,AIDMK,62586,24705
Thiruvallur,3,Tiruttani,TVK,74685,DMDK,74600,85
Thiruvallur,4,Thiruvallur,TVK,76280,DMK,67271,9009
Thiruvallur,5,Poonamallee,TVK,108116,DMK,99134,8982
Thiruvallur,6,Avadi,TVK,117387,DMK,116916,471
Thiruvallur,7,Maduravoyal,TVK,108459,DMK,105459,3000
Thiruvallur,8,Ambattur,TVK,83912,DMK,81240,2672
Thiruvallur,9,Madavaram,DMK,123370,TVK,101392,21978
Chennai,10,Thiruvottiyur,CPI(M),61715,TVK,56665,5050
Chennai,11,Dr. RadhakrishnanNagar,DMK,60335,AIDMK,57514,2821
Chennai,12,Perambur,DMK,69738,TVK,55200,14538
Chennai,13,Kolathur,DMK,67509,AIDMK,51502,16007
Chennai,14,Villivakkam,DMK,47280,AIDMK,47118,162
Chennai,15,Thiru-Vi-Ka-Nagar,DMK,49477,TVK,36117,13360
Chennai,16,Egmore,TVK,42484,DMK,42211,273
Chennai,17,Royapuram,DMK,43480,AIDMK,38971,4509
Chennai,18,Harbour,DMK,38271,AIDMK,28633,9638
Chennai,19,Chepauk-Thiruvallikeni,DMK,53813,AIDMK,40956,12857
Chennai,20,Thousand Lights,DMK,42667,AIDMK,39129,3538
Chennai,21,Anna Nagar,DMK,58763,AIDMK,53742,5021
Chennai,22,Virugampakkam,TVK,58182,DMK,48844,9338
Chennai,23,Saidapet,DMK,60213,TVK,52145,8068
Chennai,24,Thiyagarayanagar,TVK,45416,DMK,45399,17
Chennai,25,Mylapore,DMK,67344,BJP,48781,18563
Chennai,26,Velachery,INC,69472,TVK,42306,27166
Chennai,27,Sholinganallur,DMK,141401,AIDMK,108576,32825
Chennai,28,Alandur,DMK,93569,TVK,68288,25281
Kancheepuram,29,Sriperumbudur,INC,106364,TVK,81018,25346
Kancheepuram,30,Pallavaram,DMDK,93929,TVK,76362,17567
Kancheepuram,31,Tambaram,DMK,76098,AIDMK,74643,1455
Kancheepuram,32,Chengalpattu,DMK,93152,TVK,73868,19284
Kancheepuram,33,Thiruporur,PMK,75770,TVK,65681,10089
Kancheepuram,34,Cheyyur,AIDMK,59000,VCK,53400,5600
Kancheepuram,35,Madurantakam,AIDMK,60906,DMK,57751,3155
Kancheepuram,36,Uthiramerur,PMK,70418,DMK,70046,372
Kancheepuram,37,Kancheepuram,DMK,77712,AIDMK,71189,6523
Vellore,38,Arakkonam,VCK,60508,TVK,55241,5267
Vellore,39,Sholingur,PMK,74038,INC,68648,5390
Vellore,40,Katpadi,DMK,62271,AIDMK,54245,8026
Vellore,41,Ranipet,DMK,80301,BJP,52491,27810
Vellore,42,Arcot,DMK,71673,AIDMK,53482,18191
Vellore,43,Vellore,DMK,65291,TVK,53960,11331
Vellore,44,Anaikattu,DMK,71234,AIDMK,52038,19196
Vellore,45,Kilvaithinankuppam,AIDMK,63550,DMK,60580,2970
Vellore,46,Gudiyatham,DMDK,73201,AIDMK,67353,5848
Vellore,47,Vaniyambadi,IUML,71769,TVK,50284,21485
