District,Assembly,Party Name,Estimated Votes (09-03-2017),Actual Votes (11-03-2017),Difference
Jalaun,MadhOgarh,BJP,85960,108537,+22577
Jalaun,Kalpi,BJP,120284,105988,-14296
Jalaun,Orai,BJP,121133,140455,+19322
Jhansi,Babina,BJP,91779,96713,+4934
Jhansi,Jhansi Sadar,BJP,87415,17873,-69542
Jhansi,Mauranipur,BJP,123183,98905,-24278
Jhansi,Garautha,BSP,96476,-,-
Lalitpur,Lalitpur,BJP,134138,156942,+22804
Lalitpur,Mehrauni,BJP,156562,159291,+2729
Hamirpur,Hamirpur,BJP,74290,110888,+36598
Hamirpur,Rath,BJP,121360,147526,+26166
Mahoba,Mahoba,BJP,85327,88291,+2964
Mahoba,Charkhari,BJP,93267,98360,+5093
Banda,Tindwari,BJP,76019,82197,+6178
Banda,Baberu,SP,74074,-,-
Banda,Naraini,BJP,93213,92414,-799
Banda,Banda,BJP,67531,83169,+15638
Chitrakoot,Chitrakoot,BJP,87161,90366,+3205
Chitrakoot,Manikpur,BJP,79730,84988,+5258
Lucknow,Bakshi Talab,BJP,143452,96482,-46970
Lucknow,Sarojni Nagar,BJP,158194,108506,-49688
Lucknow,Lucknow Cant.,BJP,82045,95402,+13357
Lucknow,Mohanlal Ganj,BJP,83068,-,-
Lucknow,Lucknow Central,BJP,99142,78400,-20742
Lucknow,Lucknow North,BJP,145501,109315,-36186
Allahabad,Fafamau,BJP,85266,83239,-2027
Allahabad,Soraon,SP,84438,-,-
Allahabad,Phulpur,BJP,114962,93912,-21050
Allahabad,Pratappur,SP,99692,-,-
Allahabad,Bara,BSP,81006,-,-
Allahabad,Koraon,BSP,77925,-,-
Allahabad,Handiya,BJP,88921,-,-
Allahabad,Meza,BJP,84108,67807,-16301
Allahabad,Karchhana,BJP,88239,-,-
Allahabad,Allahabad North,CONGRESS,71694,-,-
Allahabad,Allahabad West,BJP,73295,85518,+12223
Allahabad,Allahabad South,BJP,72678,93011,+20333
Gautam Buddha Nagar,Noida,BJP,85254,162417,+77163
Gautam Buddha Nagar,Dadri,BJP,114672,141226,+26554
Gautam Buddha Nagar,Jewar,BJP,92014,102989,+10975
Aligarh,Barauli,BSP,129038,-,-
Agra,Fatehpul Sikri,BJP,88251,108556,+20305
Agra,Etmadpur,BJP,107133,137381,+30248
Agra,Agra Rural,BJP,107539,129887,+22348
Agra,Fatehabad,BJP,96511,101960,+5449
Agra,Agra North,BSP,92203,-,-
Agra,Agra South,BJP,97118,111882,+14764
Shahjahanpur,Shahjahanpur,BJP,11317,100734,+89417
Shahjahanpur,Tilhar,CONGRESS,77738,-,-
Shahjahanpur,Pawayan,BJP,116148,126635,+10487
Shahjahanpur,Jalalabad,BJP,90708,-,-
Hardoi,Bilgram-Mallavan,SP,84407,-,-
Hardoi,Sandeela,SP,80492,-,-
Hardoi,Sawayajpur,SP,89535,-,-
Hardoi,Sandi,CONGRESS,65482,-,-
Hardoi,Hardoi,SP,87729,97737,+10008
Hardoi,Balamau,SP,92846,-,-
Hardoi,Gopamau,,70914,87871,+16957
Hardoi,Shahabad,SP,92157,-,-
Unnao,Bhagwant Nagar,BJP,89399,103699,+14300
Unnao,Purwan,SP,92890,-,-
Unnao,Bangarmau,BJP,86651,87657,+1006
Unnao,Unnao Sadar,BJP,83826,119669,+35843
Unnao,Safipur,SP,75654,-,-
Unnao,Mohana,CONGRESS,68788,-,-
Pilibhit,Puranpur,SP,101754,-,-
Pilibhit,Barkheda,BJP,75714,104595,+28881
Pilibhit,Visalpur,BJP,78924,103499,+24575
Pilibhit,Pilibhit,BJP,109976,136486,+26510
Ghaziabad,Muradnagar,BJP,107292,140759,+33467
Ghaziabad,Modinagar,BJP,72299,108631,+36332
Ghaziabad,Loni,BJP,118678,113088,-5590
Ghaziabad,Sahibabad,CONGRESS,161471,-,-
Fatehpur,Hussainganj,BJP,44542,73595,+29053
Fatehpur,Fatehpur Sadar,BJP,98216,89481,-8735
Fatehpur,Jahanabad,BJP-Apana Dal,84220,81438,-2782
Fatehpur,Bindaki,BJP,96244,97996,+1752
Fatehpur,Khaga,BJP,82489,94954,+12465
Budaun,Sahasvan,SP,98741,77543,-21198
Budaun,Bilsi,BSP,76410,-,-
Budaun,Badaun,BJP,78956,87314,+8358
Budaun,Shekhupur,SP,98673,-,-
Deoria,Deoriya Sadar,BJP,75242,88030,+12788
Deoria,Rampur Karkhana,BJP,49752,62886,+13134
Deoria,Barhaj,BJP,66622,61996,-4626
Deoria,Pathardeva,BJP,73147,99812,+26665
Deoria,Ruddhpur,BJP,78838,77754,-1084
Deoria,Salempur,BJP,85653,76175,-9478
Basti,Rudhauli,BJP,83250,90311,+7061
Basti,Basti Sadar,BJP,79952,92697,+12745
Basti,Kaptanganj,BJP,82601,70527,-12074
Basti,Mahadeva,BJP,83099,82429,-670
Basti,Hariya,BJP,60429,97014,+36585
Mainpuri,Mainpuri,SP,70200,75787,+5587
Mainpuri,Bhogaon,SP,71885,-,-
Mainpuri,Kishni,SP,67732,80475,+12743
Mainpuri,Karhal,SP,75594,104221,+28627
Mathura,Chhata,BJP,88862,117537,+28675
Mathura,Mont,RLD,72243,-,-
Mathura,Govardhan,RLD,75765,-,-
Mathura,Baldev,RLD,80765,-,-
Mathura,Mathura,RLD,81528,-,-
Bulandshahr,Diwai,BSP,76415,-,-
Bulandshahr,AnoopShahar,BJP,82071,112431,+30360
Bulandshahr,Bulandshahar,BJP,86805,111538,+24733
Bulandshahr,Shikarpur,BJP,81325,101912,+20587
Bulandshahr,Sikandarabad,BJP,91747,104956,+13209
Bulandshahr,Syana,BJP,108784,125854,+17070
Bulandshahr,Khurja,BJP,90262,119493,+29231
Rae Bareli,Sareni,CONGRESS,81243,-,-
Rae Bareli,Harchandpur,CONGRESS,64821,65104,+283
Rae Bareli,Salon,CONGRESS,70680,-,-
Rae Bareli,Bachharawan,CONGRESS,68626,-,-
Siddharth Nagar,Banshi,BJP,86642,77548,-9094
Siddharth Nagar,Dumariyaganj,BSP,52801,-,-
Siddharth Nagar,Itawan,SP,66706,-,-
Siddharth Nagar,Shohratgarh,BJP-Apana Dal,75706,66653,-9053
Siddharth Nagar,Kapilvastu,BJP,94811,114082,+19271
Varanasi,Rohaniyan,BJP,67991,119885,+51894
Varanasi,Sewapuri,BJP-Apana Dal,57136,103423,+46287
Varanasi,Shivpur,BJP,79805,110453,+30648
Varanasi,Azgara,BJP,73682,-,-
Varanasi,Pindara,BJP,72030,90614,+18584
Varanasi,Varanasi South,BJP,81203,92560,+11357
Varanasi,Varanasi Cant.,BJP,117902,118078,+176
Jaunpur,Malhani,BJP,60281,-,-
Jaunpur,Zafarabad,BSP,66802,-,-
Jaunpur,Kerakat,BJP,73578,84078,+10500
Jaunpur,Shahganj,BSP,59795,-,-
Jaunpur,Machhlishahar,BSP,66746,-,-
Jaunpur,Madiyahu,BJP-Apana Dal,59731,58804,-927
Jaunpur,Mugra Badshahpur,BJP,63824,-,-
Jaunpur,Badlapur,BJP,60770,60237,-533
Ballia,Balia,BJP,88311,92889,+4578
Ballia,Baansdeeh,BJP,59847,-,-
