District,Constituency Number,Constituency,Expected Winning Party (By PPA on 19-04-26)
Koch Bihar,1,Mekliganj,BJP
Koch Bihar,2,Mathabhanga,BJP
Koch Bihar,3,Coochbehar Uttar,BJP
Koch Bihar,4,Coochbehar Dakshin,BJP
Koch Bihar,5,Sitalkuchi,BJP
Koch Bihar,6,Sitai,BJP
Koch Bihar,7,Dinhata,BJP
Koch Bihar,8,Natabari,BJP
Koch Bihar,9,Tufanganj,BJP
Jalpaiguri,10,Kumargram,BJP
Jalpaiguri,11,Kalchini,BJP
Jalpaiguri,12,Alipurduars,BJP
Jalpaiguri,13,Falakata,BJP
Jalpaiguri,14,Madarihat,BJP
Jalpaiguri,15,Dhupguri,BJP
Jalpaiguri,16,Maynaguri,BJP
Jalpaiguri,17,Jalpaiguri,BJP
Jalpaiguri,18,Rajganj,BJP
Jalpaiguri,19,Dabgram-Fulbari,BJP
Jalpaiguri,20,Mal,BJP
Jalpaiguri,21,Nagrakata,BJP
Darjiling,22,Kalimpong,GJM
Darjiling,23,Darjeeling,BJP
Darjiling,24,Kurseong,BJP
Darjiling,25,Matigara-Naxalbari,BJP
Darjiling,26,Siliguri,BJP
Darjiling,27,Phansidewa,BJP
Uttar Dinajpur,28,Chapra,AITC
Uttar Dinajpur,29,Islampur,AITC
Uttar Dinajpur,30,Goalpokhar,AITC
Uttar Dinajpur,31,Chakulia,AITC
Uttar Dinajpur,32,Karandighi,AITC
Uttar Dinajpur,33,Hemtabad,BJP
Uttar Dinajpur,34,Kaliaganj,BJP
Uttar Dinajpur,35,Raiganj,BJP
Uttar Dinajpur,36,Itahar,AITC
Dakshin Dinajpur,37,Kushmandi,BJP
Dakshin Dinajpur,38,Kumarganj,AITC
Dakshin Dinajpur,39,Balurghat,BJP
Dakshin Dinajpur,40,Tapan,BJP
Dakshin Dinajpur,41,Gangarampur,BJP
Dakshin Dinajpur,42,Harirampur,AITC
Maldah,43,Habibpur,BJP
Maldah,44,Gazole,BJP
Maldah,45,Chanchal,AITC
Maldah,46,Harischandrapur,AITC
Maldah,47,Malatipur,AITC
Maldah,48,Ratua,AITC
Maldah,49,Manikchak,AITC
Maldah,50,Maldaha,BJP
Maldah,51,English Bazar,BJP
Maldah,52,Mothabari,AITC
Maldah,53,Sujapur,AITC
Maldah,54,Baisnabnagar,BJP
Murshidabad,55,Farakka,AITC
Murshidabad,56,Samserganj,BJP
Murshidabad,57,Suti,AITC
Murshidabad,58,Jangipur,AITC
